# mRange,cKinked,Period
1.195347129254313856e-01,5.269102701716414927e-01,1.000000000000000000e+00
1.295347129254313945e-01,5.323961497299078971e-01,1.000000000000000000e+00
1.395347129254314034e-01,5.378820292881743015e-01,1.000000000000000000e+00
1.495347129254314122e-01,5.431492357552322181e-01,1.000000000000000000e+00
1.595347129254314211e-01,5.481010658801465096e-01,1.000000000000000000e+00
1.695347129254314300e-01,5.530528960050609122e-01,1.000000000000000000e+00
1.795347129254314389e-01,5.580047261299752037e-01,1.000000000000000000e+00
1.895347129254314478e-01,5.629565562548894952e-01,1.000000000000000000e+00
1.995347129254314567e-01,5.679083863798037868e-01,1.000000000000000000e+00
2.095347129254314655e-01,5.724146478684848383e-01,1.000000000000000000e+00
2.195347129254314744e-01,5.769089379694039010e-01,1.000000000000000000e+00
2.295347129254314833e-01,5.814032280703227418e-01,1.000000000000000000e+00
2.395347129254314922e-01,5.858975181712418046e-01,1.000000000000000000e+00
2.495347129254315011e-01,5.903918082721607563e-01,1.000000000000000000e+00
2.595347129254315099e-01,5.946803498055490689e-01,1.000000000000000000e+00
2.695347129254315188e-01,5.988627742450639557e-01,1.000000000000000000e+00
2.795347129254315277e-01,6.030451986845788426e-01,1.000000000000000000e+00
2.895347129254315366e-01,6.072276231240939515e-01,1.000000000000000000e+00
2.995347129254315455e-01,6.114100475636088383e-01,1.000000000000000000e+00
3.095347129254315544e-01,6.155173967789874245e-01,1.000000000000000000e+00
3.195347129254315632e-01,6.194408066386140055e-01,1.000000000000000000e+00
3.295347129254315721e-01,6.233642164982406975e-01,1.000000000000000000e+00
3.395347129254315810e-01,6.272876263578675005e-01,1.000000000000000000e+00
3.495347129254315899e-01,6.312110362174940814e-01,1.000000000000000000e+00
3.595347129254315988e-01,6.351344460771207734e-01,1.000000000000000000e+00
3.695347129254316076e-01,6.389130131516203015e-01,1.000000000000000000e+00
3.795347129254316165e-01,6.426536924137543627e-01,1.000000000000000000e+00
3.895347129254316254e-01,6.463943716758884239e-01,1.000000000000000000e+00
3.995347129254316343e-01,6.501350509380224851e-01,1.000000000000000000e+00
4.095347129254316432e-01,6.538757302001565463e-01,1.000000000000000000e+00
4.195347129254316521e-01,6.576019014427424425e-01,1.000000000000000000e+00
4.295347129254316609e-01,6.611555071396043592e-01,1.000000000000000000e+00
