# mRange,cKinked,cIRA,period
4.484350939527528279e-01,6.752868597487000635e-01,6.743324277787798859e-01,1.500000000000000000e+01
4.584350939527528368e-01,6.784796363281557774e-01,6.774300481119033268e-01,1.500000000000000000e+01
4.684350939527528457e-01,6.816724129076113803e-01,6.805276684450265456e-01,1.500000000000000000e+01
4.784350939527528546e-01,6.848651894870669832e-01,6.836252887781497645e-01,1.500000000000000000e+01
4.884350939527528634e-01,6.880579660665224750e-01,6.867229091112732053e-01,1.500000000000000000e+01
4.984350939527528723e-01,6.912507426459781890e-01,6.898205294443964242e-01,1.500000000000000000e+01
5.084350939527528812e-01,6.944435192254336808e-01,6.929181497775197540e-01,1.500000000000000000e+01
5.184350939527528901e-01,6.975970592119280500e-01,6.960157701106430839e-01,1.500000000000000000e+01
5.284350939527528990e-01,7.006717806729940712e-01,6.991133904437664137e-01,1.500000000000000000e+01
5.384350939527529079e-01,7.037465021340598703e-01,7.022110107768897436e-01,1.500000000000000000e+01
5.484350939527529167e-01,7.068212235951258915e-01,7.053086311100129624e-01,1.500000000000000000e+01
5.584350939527529256e-01,7.098959450561919127e-01,7.084062514431362922e-01,1.500000000000000000e+01
5.684350939527529345e-01,7.129706665172578228e-01,7.115038717762596221e-01,1.500000000000000000e+01
5.784350939527529434e-01,7.160453879783237330e-01,7.146014921093828409e-01,1.500000000000000000e+01
5.884350939527529523e-01,7.191201094393897542e-01,7.180689087728470144e-01,1.500000000000000000e+01
5.984350939527529611e-01,7.221948309004556643e-01,7.215584395855013655e-01,1.500000000000000000e+01
6.084350939527529700e-01,7.252089199290375765e-01,7.250479703981557167e-01,1.500000000000000000e+01
6.184350939527529789e-01,7.281011241131936096e-01,7.285375012108100679e-01,1.500000000000000000e+01
6.284350939527529878e-01,7.309933282973497537e-01,7.320270320234643080e-01,1.500000000000000000e+01
6.384350939527529967e-01,7.338855324815056758e-01,7.355165628361186592e-01,1.500000000000000000e+01
6.484350939527530056e-01,7.367777366656615978e-01,7.390060936487730103e-01,1.500000000000000000e+01
